driverName,team,driverGroup,driverStatus
Alick,Mercedes,A1,1st driver
Owen Li,Mercedes,A1,2ed driver
ZghosT,Mercedes,A1,3rd driver
shadowferrari,Red Bull Racing,A1,1st driver
Especial_Pan,Red Bull Racing,A1,2ed driver
32,McLaren,A1,1st driver
015 GW,McLaren,A1,2ed driver
LHAM66,Racing Point,A1,1st driver
Ti-x dor,Racing Point,A1,2ed driver
whiteGX5,Racing Point,A1,3rd driver
RiceCake,Renault,A1,1st driver
Hayato,Renault,A1,2ed driver
Quick Nick,Renault,A1,3rd driver
Noth Amor,Alpha Tauri,A1,1st driver
Charlotte Amor,Alpha Tauri,A1,2ed driver
Rory Amor,Alpha Tauri,A1,3rd driver
Guagua,Williams,A1,1st driver
shotsbaldwin,Williams,A1,2ed driver
Dop.25,Haas,A1,reserved driver
littleredhat,Haas,A1,reserved driver
h0,Reserved,A1,reserved driver
HanserTG,Reserved,A1,reserved driver
G0ldeN_-,Reserved,A1,reserved driver
WindGK,Mercedes,A2,1st driver
come papa here,Mercedes,A2,2ed driver
Livistar,Ferrari,A2,1st driver
WUHUQIFEI,Red Bull Racing,A2,1st driver
LinuS Sebastian,Red Bull Racing,A2,2ed driver
Mercedes 4orever,McLaren,A2,1st driver
ohmhong,McLaren,A2,2ed driver
ARTIST,Racing Point,A2,1st driver
EVAIN,Racing Point,A2,2ed driver
Ive Wei,Racing Point,A2,3rd driver
TeamCorvette,Renault,A2,1st driver
qszx44,Williams,A2,1st driver
EricWang,Williams,A2,2ed driver
KenHo,Reserved,A2,reserved driver
Caps,Reserved,A2,reserved driver
YIN,Reserved,A2,reserved driver
YG_MMM,Reserved,A2,reserved driver
XD_Fantaman,Reserved,A2,reserved driver
Head brother,Reserved,A2,reserved driver
TXG,Reserved,A2,reserved driver
cveda,Reserved,A2,reserved driver
LugoBox,Reserved,A2,reserved driver
61,Reserved,A2,reserved driver
Kvwowv,Reserved,A2,reserved driver
BIUAninA,Reserved,A2,reserved driver
Dragon,Reserved,A2,reserved driver
LOStSCX,Reserved,A2,reserved driver
Lucaspo,Reserved,A2,reserved driver
