driverName,driverGroup,warning,totalLicensePoint
Alick,A1,0,12
Owen Li,A1,0,12
ZghosT,A1,0,12
shadowferrari,A1,0,12
Especial_Pan,A1,0,12
JokerOwen,A1,0,12
RiceCake,A1,0,12
Hayato,A1,0,12
Quick Nick,A1,0,12
CeleRadish,A1,0,11
Reol,A1,0,12
Leo,A1,0,12
Noth Amor,A1,0,12
Charlotte Amor,A1,0,11
Rory Amor,A1,0,12
32,A1,2.5,12
015 GW,A1,1,12
LHAM66,A1,0.5,12
Ti-x dor,A1,0,12
whiteGX5,A1,0,12
Even,A1,0,12
Meow,A1,0,12
Guagua,A1,1,12
shotsbaldwin,A1,1,12
PaySd,A1,2.5,6
littleredhat,A1,1,10
Dop.25,A1,2,10
babiface,A1,0,12
Flamus,A1,0,12
Script,A1,0,12
STL,A1,0,12
TeFuir,A1,0,12
Banana,A1,1,12
tick372,A1,0,12
MadKing Amor,A1,0,12
Apostle,A1,0,12
Akei Pan,A1,0,12
HanserTG,A1,0,12
G0ldeN_-,A1,0,12
G FEAR,A1,1,9
DJH,A1,0,12
wofa,A1,0.5,10
h0,A1,0,12
NG,A1,0,12
come papa here,A2,3.5,4
WUHUQIFEI,A2,0,12
LinuS Sebastian,A2,2.5,9
TeamCorvette,A2,1,11
Mercedes 4orever,A2,0,12
ohmhong,A2,0,12
ARTIST,A2,4,1
EVAIN,A2,1,9
Ive Wei,A2,0,12
Livistar,A2,0,12
qszx44,A2,0,12
EricWang,A2,0.5,12
BIUAninA,A2,3,4
funaNAna,A2,1,12
KinMerture,A2,2,12
Kvwowv,A2,0,12
Lucaspo,A2,0,12
Meat_GC,A2,0,12
o2Jam-LucKy,A2,0,12
SouLCause,A2,0,12
spinnnnnia,A2,0,12
syrson,A2,4,2
TXG,A2,0,12
YIN,A2,0,12
61,A2,0,12
YG_MMM,A2,0,12
LOStSCX,A2,1,10
MARU.C7Y,A2,0,12
Head brother,A2,1,9
small£¬smllH,A2,2.5,2
danke,A2,0,11
XD_Fantaman,A2,0,12
2540119046,A2,1,10
cveda,A2,0,12
akacboy91s,A2,0,12
UltrasBoy,A2,5,4
Kanavi,A2,1,12
NPUSmlz,A2,0,10
TIGEROMG,A2,0,4
LoveLIver37,A2,0,12
LeeJiEun,A2,0,11
dodo,A2,0,12
Dragon,A2,0,10
KenHo,A2,0,6
GKKrasus,A2,0,12
LugoBox,A2,0,11
markisco,A2,0,12
ttt,A2,0,12
Caps,A2,1,12
Meat_Lu,A2,0,10
TOMFANG,A2,0,12
146,A3,0,12
Peter17,A3,0,12
PanNi,A3,0,12
Mastvalk,A3,0,12
SESDAVET,A3,0,12
Deko_Alex,A3,0,12
Sponge,A3,0,12
ACS-D,A3,0,10
Twoliges,A3,0,12
GayGeality,A3,0,12
Wack.Y,A3,0,12
SilenceSuzuka61,A3,0,12
Firress,A3,0,12
ALLLLLLL,A3,0,12
TJaySpin,A3,0,12
Snowflake,A3,0,12
