GP,driverGroup
Australia,A1
Bahrain,A1
Vietnam,A1
China,A1
Netherlands,A1
Spain,A1
Monaco,A1
Azerbaijan,A1
Canada,A1
France,A1
Austria,A1
Britain,A1
Hungary,A1
Belgium,A1
Italy,A1
Singapore,A1
Russia,A1
Japan,A1
USA,A1
Mexico,A1
Brazil,A1
Abu Dahbi,A1
Australia,A2
Bahrain,A2
Vietnam,A2
China,A2
Netherlands,A2
Spain,A2
Monaco,A2
Azerbaijan,A2
Canada,A2
France,A2
Austria,A2
Britain,A2
Hungary,A2
Belgium,A2
Italy,A2
Singapore,A2
Russia,A2
Japan,A2
USA,A2
Mexico,A2
Brazil,A2
Abu Dahbi,A2
Australia,A3
Bahrain,A3
Vietnam,A3
China,A3
Netherlands,A3
Spain,A3
Monaco,A3
Azerbaijan,A3
Canada,A3
France,A3
Austria,A3
Britain,A3
Hungary,A3
Belgium,A3
Italy,A3
Singapore,A3
Russia,A3
Japan,A3
USA,A3
Mexico,A3
Brazil,A3
Abu Dahbi,A3
