Round,raceDate,GP_CHN,GP_ENG,raceLength,raceStatus
1,2022/2/10,巴林,Bahrain,FULL,TO BE GO
2,2022/3/3,圣马力诺,San Marino,FULL,TO BE GO
3,2022/3/10,葡萄牙,Portugal,FULL,TO BE GO
4,2022/3/31,法国,France,FULL,TO BE GO
5,2022/4/7,奥地利,Austria,FULL,TO BE GO
6,2022/4/21,英国,Britain,FULL,TO BE GO
7,2022/5/12,比利时,Belgium,FULL,TO BE GO
8,2022/5/26,意大利,Italy,FULL,TO BE GO
9,2022/6/9,俄罗斯,Russia,FULL,TO BE GO
10,2022/6/30,中国,China,FULL,TO BE GO
11,2022/7/14,美国,USA,FULL,TO BE GO
12,2022/7/21,墨西哥,Mexico,FULL,TO BE GO
13,2022/7/28,巴西,Brazil,FULL,TO BE GO
